Sample,SRR8937497,SRR8937498,SRR8937499,SRR8937500,SRR8937501,SRR8937502,SRR8937503,SRR8937504,SRR8937505,SRR8937506,SRR8937507,SRR8937508,SRR8937509,SRR8937510,SRR8937511,SRR8937512,SRR8937513,SRR8937514,SRR8937515,SRR8937516,SRR8937517,SRR8937519,SRR8937520,SRR8937521,SRR8937522,SRR8937523,SRR8937524,SRR8937525,SRR8937526,SRR8937527,SRR8937528,SRR8937529,SRR8937530,SRR8937531,SRR8937532,SRR8937533,SRR8937534,SRR8937535,SRR8937536,SRR8937537,SRR8937538,SRR8937540,SRR8937541,SRR8937542,SRR8937543,SRR8937544,SRR8937545,SRR8937546,SRR8937547,SRR8937548,SRR8937549,SRR8937551,SRR8937552,SRR8937553,SRR8937554,SRR8937555,SRR8937556,SRR8937557,SRR8937558,SRR8937559,SRR8937560,SRR8937561,SRR8937562,SRR8937563,SRR8937564,SRR8937565,SRR8937566,SRR8937567,SRR8937568,SRR8937569,SRR8937570,SRR8937571,SRR8937572,SRR8937573,SRR8937574,SRR8937575
Basal-Mp3,3.430906375,0.796873239,2.567077822,0,0,0,1.965609711,0,1.869961192,1.20022317,0,0,4.74747495,0,3.12580223,0,0,0.595955076,0,0,1.061696538,0.599557979,1.373311592,0.115197471,0,3.48233795,3.346148885,0,3.460247433,0,0,1.269239962,0.216351216,0,0,0,0,3.453341865,2.396092407,1.741001249,5.871593196,2.068108018,1.932690075,3.986183382,3.88934366,5.316557659,3.040554962,3.736178232,4.525734648,0.303265725,1.157345741,0,0.680428717,0,0,0,0,3.706336945,1.9534518,5.814604935,2.815245978,4.87723824,4.981008644,5.17159186,3.26836852,1.601488798,0,0,0,0,0,0,0,0,0,0
NA-Mp3,0,0,2.409717471,0,4.008115047,0.422977086,3.546268878,1.638845973,0,0.000611552,0,0,0,0.458250583,3.417142963,1.891206232,0.754808599,1.220538143,2.441381864,0.124558822,2.029018795,2.480732667,0,0,1.989964099,0,0,0,0,0.795100477,3.335975963,1.252947323,0.230582269,2.490982699,0.271885141,3.950347034,4.578318752,3.969284021,3.144296378,1.010644239,4.122311249,3.564458804,4.339144501,2.365310458,2.271307705,4.662638586,5.029177659,2.289199746,4.799811824,1.841041897,0.357168797,2.941528512,0,0,2.09804674,0,0,6.375272653,5.219463853,4.778784683,5.777229613,7.366023688,4.351467223,3.089610264,4.842141618,1.086123028,0.435493271,0.405255973,0,1.130472839,0,0.320390381,0.818438479,0,0.428642688,0.447299127
Basal-Mp4,0.823596017,1.693513058,5.27695573,1.489383413,0,1.381775,6.258360969,3.168041749,3.022324861,3.595097684,4.97237465,0,0,0.76946191,0.001871493,1.87445797,0.790781461,2.957984686,1.319071675,0.929827751,2.651424387,4.088850593,0,3.520887394,2.671345302,1.201783646,0.591366813,0.69149304,0.520406277,0,0.792636955,0.986012922,0,0,0,1.023581999,2.289626054,0.296058976,0,0,0,1.441757015,0.194260809,0,0,0.982686192,0.547220435,0,0.351998471,0,0,0,2.002055865,0,0,0,0,0.536114252,0,0,0,0,0,0.244137192,0,0,0,0,0,0,0,0,0,0,0,0
NA-Mp4,0.406357074,1.893158193,0.483520424,0.01156538,1.845192983,0.784371228,1.288247191,1.675477385,0.070462207,3.154375273,2.440224911,0.575045129,1.373520665,0,1.503793387,0,0,0.408313312,0,1.662243746,2.807200066,0.913821276,0.552636642,1.20642187,2.747387816,2.229081045,0.211057806,0.38759148,0,0,1.39711206,0.295366071,0.486899086,0,0,0.154513412,0,0,1.549420021,1.554017092,3.334507251,0.436083325,0.050457631,0.866927084,0.548803054,0.900919462,1.173765873,1.291524978,0,0.90398289,0.291571016,0,0.941621898,0.970627902,0,1.907898653,2.39653034,1.526468695,0.316593808,0.936351624,1.198373854,1.00205434,1.613072004,0,2.679394892,0.437897928,1.307077058,1.600981108,1.138653232,0.821614211,0.829744348,1.368861119,0.04532035,1.162346572,0.987035721,0.910893342
Basal-Mp5,2.668128752,0.50494568,0.339617357,0.60170476,1.581550959,0,0,1.257457296,0,0,1.589271677,1.957585204,2.704131786,2.967975841,0,0,0.561971564,0.543016094,3.476995301,2.179163582,4.744133555,0.055620007,3.150218071,0.926761649,4.73332855,0,2.751486447,1.512458421,0,0.025198035,0,0,0.491340668,0.183883929,0.349925899,0,0,0,0,0,0.493390868,0.070384203,0.345081172,0.107295263,0.259212263,0.204944808,0.300678572,0.717616386,0.356062927,0.073014253,1.027946159,0.178832424,0,0.939331308,0.54565758,1.079530582,1.969409576,0.252675841,0.546794655,0.250601388,0.673948644,0.38829615,0.327932899,0,0,0.433856757,0.900366659,0.688844969,1.707300154,0.208208534,0.430776124,0.245970126,0.657502703,1.554444739,1.315674923,1.112289749
NA-Mp5,6.296496716,0,2.22818596,5.958004536,0,6.358361237,2.253227778,4.094387628,3.633515788,0,0,0,0.91480304,3.938650492,0,4.658353192,3.823078486,0,0.471401771,3.938027419,9.570138001,0.748865119,5.505130112,2.545467902,5.674195651,0.664355676,7.203644494,1.389698323,0,0,0,3.314026639,0,0,0,0,1.502965734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919973115,0.129928297,0,0.131693736,2.726237427,0,0,0,0,0,0,0,0,0,0,0,0.297072992,0,0.283086457,0,0,0.943881019,0.015160669,0
Basal-NonInf-Mp,3.706580621,4.416526643,4.026600496,6.061750283,6.404890324,3.823929361,3.452475176,6.902632439,4.567174136,3.633508604,3.122053459,6.369909577,6.129182175,4.658973504,4.733006595,4.771414126,5.416263034,6.203521136,4.358736008,4.879163036,2.259588604,3.56152803,5.757906091,1.883289971,1.40862505,5.92047292,2.682408914,5.088375979,3.559415622,7.303698187,4.465744264,4.889606397,7.491713047,5.021044033,5.314013382,3.644048742,0.053169097,4.671382016,5.212140638,5.521115443,4.535332612,3.11047844,3.290982443,3.823757401,5.527548693,3.345439583,3.50792993,2.879244279,3.750652431,5.416284727,3.885154808,4.224213501,2.578007264,3.197629337,4.356566198,3.894612387,2.877428918,3.392371524,4.259808949,4.584559812,4.24443257,4.079700095,5.743266685,4.73855538,5.28879236,4.468859648,5.548755879,5.171877316,8.268237131,3.669510268,4.891378767,4.593253111,4.822298236,8.076232436,8.003868624,5.876226155
NA-NonInf-Mp,1.975717882,1.065568977,1.231222513,1.765635528,1.506696483,0.750341185,0.91684124,0.599092631,2.167141006,0.212653127,0.185532655,1.255171471,0.840104276,2.97112021,5.796049545,1.274190578,0.574917301,2.101561686,1.439639297,1.972399622,1.587973926,3.932628867,2.527123925,3.778427113,1.393108844,2.602239276,3.256445713,3.097798032,1.258525014,1.551334213,0.297674099,2.109639348,2.566331423,3.145798594,3.495392556,3.235424629,0,3.274629982,1.748822761,2.990442779,3.804771073,4.756792908,4.255712068,3.762106602,3.602554873,5.784321488,5.648713123,4.173896743,4.986139044,2.40030771,3.463090109,3.08057972,4.277867778,3.73505071,4.332744302,4.200168743,2.724826885,4.004396388,5.026734916,4.551883295,3.847809844,4.694015981,3.793831157,3.434747297,2.022474599,4.296203447,2.235042235,3.336323663,1.554179915,4.348219071,4.188758301,2.907572572,3.919002323,3.146442208,2.847421553,2.695109274
NA-Hep1,0,0,0,0,0,0,0,0,0,0,0,1.190115719,0,0,9.840500718,0,0,1.318373395,2.168597134,0,0,0.954882129,0,0.323668666,0,2.302796065,0,0,18.03678446,19.75124954,21.28747945,11.89698809,26.67239727,23.44864157,28.49180807,14.9533656,5.945965816,8.082479418,14.44934148,11.86204688,7.607456859,15.55258284,18.88614677,19.5876188,19.32258817,17.34589417,16.43208296,23.04994606,14.18601233,19.52639647,24.80463323,21.70689489,27.65499666,24.34112794,15.65168076,15.28953812,22.79487505,8.207064418,15.19107804,13.95833933,14.3500384,15.08072419,18.42432635,12.60800485,0.214812327,10.27773975,23.11141903,20.48145308,24.92179599,23.41657862,24.76034556,23.28743677,26.35695634,22.44559382,22.34606222,24.69824822
NA-Hep2,11.6908376,2.989434426,8.322348147,7.941028596,8.555165329,9.941020655,11.02541073,6.420935941,8.989342474,0,0,0.786540165,4.307644875,5.974198192,0,4.827608954,8.846613955,0,0.18819525,4.049170687,7.552009707,6.350688555,12.60599173,1.656801005,9.015813048,3.553921913,10.1842158,7.644614197,0,0,0,15.44865051,0,0,0,7.643212681,0,21.91710102,3.658780141,7.637197085,3.074720241,5.910101858,1.548614205,6.557765906,7.859974593,3.639095649,0,11.02703709,10.53473629,0,7.296025061,4.191144541,0,2.427914437,9.016349047,0,2.468854835,8.584634144,0.915486977,10.07025198,7.792939096,0.670410373,5.94984124,7.571486398,11.53117574,5.123590303,0,0,0,0,0,0,0,0,4.348487564,1.145474001
NA-Hep3,0.317545352,11.37993785,3.280329175,6.995759713,3.312191375,11.81487918,2.511293362,5.160185389,0.737760818,6.911371964,12.89085756,6.152966883,1.494125031,0,13.3340426,7.287276934,8.411790817,10.38860078,2.088643403,5.319424433,0.007272984,6.872026544,0.311855189,5.715178708,0.958586089,8.726474655,0,7.110555153,23.52232205,15.76087588,26.3360252,4.957121834,12.11565236,13.71560149,12.59602866,5.552852838,25.71340668,0,1.296681634,8.418570826,3.050984159,4.174633958,4.216894713,4.526471485,1.483114283,1.144468901,7.211173913,1.507080309,0.847821927,8.052433052,8.830304842,9.2404334,10.37390314,8.53533517,7.966629072,20.6915818,9.321245693,3.185273868,7.666008792,5.022856511,2.653229479,6.244066504,2.442881371,1.741760592,5.138866017,7.230569278,10.34646114,13.86802725,10.60095846,9.028288917,10.81246991,15.27488131,10.86431647,10.45923266,10.71008333,9.845041238
