NAME	Basal-NK-cell	NA-NK-cell	Basal-CD8-T-cell	NA-CD8-T-cell	Basal-CD4-T-cell	NA-CD4-T-cell	Basal-Mp1	NA-Mp1	Basal-Mp2	NA-Mp2	Basal-Mp3	NA-Mp3	Basal-Mp4	NA-Mp4	Basal-Mp5	NA-Mp5	Basal-NonInf-Mp	NA-NonInf-Mp	NA-Hep1	NA-Hep2	NA-Hep3	NA-Hep4	NA-Hep5	NA-LSEC1	NA-LSEC2	NA-Plasma	Basal-B-cell	NA-B-cell	NA-Chol
AC020656.1	1	1	1	1	1	1	120.334720218415	1	199.762819642709	1	214.15597489342	1	1	1	144.126947980998	1	60.6512709196061	1	1	1	1	1	1	1	1	1	1	1	1
AC025164.1	106.727056771472	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	128.974073979656	1	1
AC027097.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72.3873155304293	1	1
AC058791.1	162.117665673501	1	120.678374970895	1	109.229956656428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	153.448187636667	1	1
AC074117.1	1	1	1	1	1	1	74.0383048249803	1	42.0731965607036	1	39.9915326426186	1	48.5513684276312	1	1	1	46.6469741310069	1	1	1	1	1	1	1	1	1	1	1	1
AC079767.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	263.331097792246	1
AC090498.1	1	844.794006874038	1	1341.29962041714	1	1270.07232296986	1	906.250320261722	1	438.459336896008	1	792.950530806512	1	637.988050464927	1	889.916179379755	1	748.250656963079	464.982656719831	396.045761605356	270.803767530421	1113.35010877974	399.913767788456	786.845836756249	641.462279574689	1274.17576656256	1	1801.18789502908	623.683098669196
AC092580.4	1	279.242947644026	1	611.177069976132	1	522.261597097144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC093323.1	1	1	1	1	63.4611440140909	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC096667.1	1	1	1	1	1	1	1	1	1	1	1	1	42.5705439099694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC100810.1	1	1	1	1	1	1	42.9638781368903	1	81.055385284916	1	34.5739768962802	1	68.0177428412633	1	56.0246086357156	1	57.0910813181067	1	1	1	1	1	1	1	1	1	1	1	1
AC114760.2	1	1	1	1	88.7394156783799	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC244090.1	1	1	1	1	1	1	1	1	1	1	1	1	49.1938784899748	1	1	1	43.0910659593291	1	1	1	1	1	1	1	1	1	1	1	1
AC245100.1	1	116.482597111341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC245128.3	1	1	1	1	1	1	281.757871596905	1	266.919513961124	1	94.2884047785024	1	93.3312650548729	1	269.7714609272	1	103.031388474833	1	1	1	1	1	1	1	1	1	1	1	1
AC245297.3	1231.3443812632	1	582.251438425924	1	363.720549010722	1	71.376953420731	1	1	1	57.5404627753153	1	42.6225889467112	1	63.4722810959083	1	46.0990134501334	1	1	1	1	1	1	1	1	1	265.518944878592	1	1
ACACB	1	1	1	1	1	1	1	1	1	93.8071783763992	1	1	1	1	1	1	1	1	249.434896150762	252.375527609495	472.513896693414	344.901578154184	145.417658122802	56.9708279547194	195.458709348233	1	1	1	1
ACADS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	243.31854380064	271.791960545421	357.852903515263	224.230936123369	271.421477516652	1	1	1	1	1	1
ACADSB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	555.151297114796	675.996377562574	711.969788869139	342.103491861106	442.150418525258	1	1	1	1	1	95.0533242515013
ACAP1	336.061610863545	827.5273116644	240.163444181351	744.780353758275	191.318024219752	549.775250727209	1	118.204972154664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	170.09898444963	416.966747232027	1
ACAT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	117.278898341562	126.428079656626	964.09355358454	119.830735316024	1	1	93.3838105979811	75.815553764384	1	84.9065193967571
ACBD6	1	1	1	1	58.4641266767621	1	1	1	1	69.3077822040599	45.5182188475279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACE	1	1	1	1	1	1	1	1	1	1	1	1	54.3337922819368	125.385288646147	1	1	1	106.646597580763	1	1	1	1	1	1	1	1	1	1	1
ACER3	1	1	1	1	1	1	89.2105925704553	1	68.1033798575036	1	54.1844748954539	99.1376963882205	62.7297025001036	249.399498386722	45.2935357596741	1	79.0414679083958	158.901667323452	1	1	1	1	1	1	1	1	1	1	1
ACKR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	158.371715586858	1	1	1	1	1
ACKR3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	156.145920949506	1	1	1	1	1
ACO1	1	1	1	1	1	1	1	1	36.0310300664058	1	1	1	44.7895628501379	1	45.0490114932566	1	1	1	259.158910229925	263.09506802507	355.611317901967	364.939648284124	194.677974043586	1	1	1	1	1	1
ACOX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	158.955722335558	128.753839398721	129.518616598255	1	168.463786685752	1	1	1	1	1	1
ACP5	1	1	1	1	1	1	483.314306820497	123.524591680124	841.144359616101	146.958489230296	320.72938319842	177.952189409832	1599.74390247244	751.213692948995	668.011233806292	1	1050.38439420261	196.583698108912	1	1	1	1	1	444.06374205291	1165.60554204664	1	88.6845430113957	1	108.01593245489
ACP6	1	1	1	1	1	1	1	1	1	71.9830138768413	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACSF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	111.007638934315	1	1	1	1	1	1	1	1
ACSL4	1	1	1	1	1	1	207.637052161989	178.269062061156	151.671961882477	1	136.336263386021	128.10773126401	117.585835762135	1	184.830607884079	1	140.212872046407	113.654546058629	1	1	1	294.178862121224	1	1	1	1	1	1	1
ACSM2A	1	1	1	1	1	194.523333436393	1	1	1	1	1	1	1	1	1	1	1	1	630.224974978909	562.199537211748	1001.70561257288	1301.72099422443	517.646437197311	1	183.649927414176	127.335792192099	1	1	1
ACSM2B	1	1	1	1	1	269.523156411042	1	1	1	1	1	1	1	1	1	1	1	1	855.081776402755	912.119609466525	1262.47410948815	1129.13838093438	722.377472673675	1	190.276818040867	168.346622962089	1	1	107.550843325573
ACSM3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	91.5805314886666	1	333.843562128333	1	92.8297015737967	1	1
